'merica	mˈɛɹəkə
coadventuress	kOdvˈɛnʧəɹˌɛs
coadventuring	kOdvˈɛnʧəɹɪŋ
coagency	kOˈAʤənsi
coagonize	kOˈæɡənˌIz
coagulating	kOˈæɡjʊlˌAɾɪŋ
coak	kˈOk
coakum	kˈOkəm
coala	kˈOlə
coalas	kˈOləz
coalbag	kˈOlbæɡ
coalbagger	kˈOlbæɡəɹ
coalbin	kˈOlbɪn
coalbins	kˈOlbɪnz
coalbox	kˈOlbɑks
coalboxes	kˈOlbɑksᵻz
coaled	kˈOld
coalers	kˈOləɹz
coalescing	kOəlˈɛsɪŋ
coalier	kˈOliəɹ
coalify	kˈOlᵻfˌI
coalifying	kˈOlᵻfˌIɪŋ
coalitional	kˌOəlˈɪʃənᵊl
coalitioner	kˌOəlˈɪʃənəɹ
coalitions	kˌOəlˈɪʃənz
coalize	kˈOlIz
coalized	kˈOlIzd
coalizer	kˈOlIzəɹ
coalizing	kˈOlˌIzɪŋ
coalpit	kˈOlpɪt
coalpits	kˈOlpɪts
coals	kˈOlz
coalsacks	kˈOlsæks
coamings	kˈOmɪŋz
coannexing	kˈOnɛksɪŋ
coappearing	kˈOpɪɹɪŋ
coapting	kˈOptɪŋ
coarcting	kˈɔɹktɪŋ
coarsening	kˈɔɹsənɪŋ
coarser	kˈɔɹsəɹ
coarsest	kˈɔɹsɪst
coassession	kOsˈɛʃən
coassisting	kˈOsɪstɪŋ
coassuming	kˈOsumɪŋ
coastally	kˈOstᵊli
coasted	kˈOstᵻd
coasters	kˈOstəɹz
coastings	kˈOstɪŋz
coastman	kˈOstmən
coastmen	kˈOstmɛn
coasts	kˈOsts
coastside	kˈOstsId
coastwards	kˈOstwəɹdz
coastways	kˈOstwAz
coater	kˈOɾəɹ
coaters	kˈOɾəɹz
coatings	kˈOɾɪŋz
coatracks	kˈOtɹæks
coats	kˈOts
coattending	kˈOtɛndɪŋ
coattestation	kˌOɾɪstˈAʃən
coattesting	kˈOɾɪstɪŋ
coaudience	kˌOˈɔdiəns
coauthored	kˌOˈɔθəɹd
coauthoring	kOˈɔθəɹɪŋ
coaxal	kˈOksᵊl
coaxed	kˈOkst
coaxers	kˈOksəɹz
coaxes	kˈOksᵻz
coaxy	kˈOksi
cobbed	kˈɑbd
cobber	kˈɑbəɹ
cobberer	kˈɑbəɹəɹ
cobbers	kˈɑbəɹz
cobbier	kˈɑbɪəɹ
cobbin	kˈɑbɪn
cobbing	kˈɑbɪŋ
cobblerfish	kˈɑbləɹfɪʃ
cobblerism	kˈɑbləɹˌɪzəm
cobblerless	kˈɑbləɹləs
cobblers	kˈɑbləɹz
cobblership	kˈɑbləɹʃˌɪp
cobblery	kˈɑbᵊlɹi
cobbles	kˈɑbᵊlz
cobblestones	kˈɑbᵊlstˌOnz
cobbling	kˈɑblɪŋ
cobbly	kˈɑbli
cobbra	kˈɑbɹə
cobbs	kˈɑbz
cobias	kˈObiəz
coble	kˈɑbᵊl
cobleman	kˈɑbᵊlmən
cobles	kˈɑbᵊlz
cobras	kˈObɹəz
cobs	kˈɑbz
cobwebbing	kˈɑbwɛbɪŋ
cocaines	kOkˈAnz
cocainising	kˈɑkAnˌIzɪŋ
cocainizing	kˈɑkAnˌIzɪŋ
cocas	kˈOkəz
cocautioner	kəkˈɔʃənəɹ
coccidae	kˈɑksɪdˌi
coccids	kˈɑksɪdz
coccochromatic	kˌɑkəkɹOmˈæɾɪk
coccolithophorid	kˈɑkəlˌɪθəfˌɔɹɪd
coccolithophoridae	kˈɑkəlˌɪθəfˌɔɹɪdˌi
cocentric	kOsˈɛntɹɪk
cochairing	kˌOʧˈɛɹɪŋ
cochairmanship	kˌOʧˈɛɹmənʃˌɪp
cochins	kˈOʧɪnz
cochleas	kˈɑkliəz
cockal	kˈɑkᵊl
cockapoos	kˈɑkəpˌuz
cockard	kˈɑkəɹd
cockatoos	kˈɑkətˌuz
cockbilling	kˈɑkbɪlɪŋ
cockcrowing	kˈɑkkɹOɪŋ
cocked	kˈɑkt
cocker	kˈɑkəɹ
cockered	kˈɑkəɹd
cockerie	kˈɑkəɹi
cockering	kˈɑkəɹɪŋ
cockermeg	kˈɑkəɹmˌɛɡ
cockernony	kˈɑkəɹnəni
cockerouse	kˈɑkəɹˌWs
cockers	kˈɑkəɹz
cocket	kˈɑkɪt
cocketing	kˈɑkɪɾɪŋ
cockie	kˈɑki
cockies	kˈɑkiz
cocking	kˈɑkɪŋ
cockish	kˈɑkɪʃ
cockishly	kˈɑkɪʃli
cockishness	kˈɑkɪʃnəs
cockled	kˈɑkᵊld
cockler	kˈɑkləɹ
cockles	kˈɑkᵊlz
cocklet	kˈɑklɪt
cockling	kˈɑklɪŋ
cockly	kˈɑkli
cockneydom	kˈɑknidəm
cockneyfying	kˈɑknɪfˌIɪŋ
cockneylike	kˈɑknilˌIk
cockneys	kˈɑkniz
cockneyship	kˈɑkniʃˌɪp
cocks	kˈɑks
cockshead	kˈɑkshɛd
cockshying	kˈɑkʃiɪŋ
cockspur	kˈɑkspʊɹ
cockspurs	kˈɑkspʊɹz
cockstone	kˈɑkstOn
cocksuredom	kˌɑkʃˈʊɹdəm
cockswain	kˈɑkswAn
cocksy	kˈɑksi
cocktailing	kˈɑktAlɪŋ
cockthrowing	kˈɑkθɹOɪŋ
cockup	kˈɑkʌp
cockups	kˈɑkʌps
coconnection	kˌOkənˈɛkʃən
coconscious	kˌOkˈɑnʃəs
coconsciously	kˌOkˈɑnʃəsli
coconsciousness	kˌOkˈɑnʃəsnəs
coconspirator	kˌOkənspˈɪɹəɾəɹ
cocontractor	kˌOkəntɹˈæktəɹ
coconuts	kˈOkənˌʌts
cocooned	kəkˈund
cocooneries	kəkˈunˌɛɹiz
cocoonery	kəkˈunˌɛɹi
cocooning	kəkˈunɪŋ
cocoons	kəkˈunz
cocreating	kˈɑkɹiˌAɾɪŋ
cocreator	kˌɑkɹiˈAɾəɹ
cocreatorship	kˌɑkɹiˈAɾəɹʃˌɪp
codable	kˈOdəbᵊl
codamin	kˈOdəmˌɪn
codas	kˈOdəz
codding	kˈɑdɪŋ
coddled	kˈɑdᵊld
coddlers	kˈɑdləɹz
coddles	kˈɑdᵊlz
coddling	kˈɑdlɪŋ
coddy	kˈɑdi
codeia	kˈOdiə
codeias	kˈOdiəz
codein	kˈOdin
codeina	kˈOdɪnə
codeinas	kˈOdɪnəz
codeins	kˈOdinz
coden	kˈOdən
codens	kˈOdənz
coderiving	kˈOdɹɪvɪŋ
coders	kˈOdəɹz
codes	kˈOdz
codesigning	kˈOdsInɪŋ
codfishing	kˈɑdfɪʃɪŋ
codgers	kˈɑʤəɹz
codifying	kˈOdᵻfˌIɪŋ
codings	kˈOdɪŋz
codirecting	kˈOdᵻɹˌɛktɪŋ
codium	kˈOdiəm
codlings	kˈɑdlɪŋz
cods	kˈɑdz
coediting	kˌOˈɛdɪɾɪŋ
coelacanthid	sˈiləkˌænθɪd
coelacanthidae	sˈiləkˌænθɪdˌi
coelacanthine	sˈiləkˌænθIn
coelacanthoid	sˈiləkˌænθYd
coelacanthous	sˈiləkˌænθəs
coelection	silˈɛkʃən
coelomopore	sˈiləmˌɑpɔɹ
coeloms	sˈiləmz
coemanate	kˌOˈɛmənˌAt
coembedded	kˌOɛmbˈɛdᵻd
coembodied	kˌOɛmbˈɑdid
coembodying	kˌOɛmbˈɑdiɪŋ
coembrace	kˌOɛmbɹˈAs
coemperor	kˌOˈɛmpəɹəɹ
coemploying	kˌOɛmplˈYɪŋ
coempting	kˌOˈɛmptɪŋ
coenact	kˌOɛnˈækt
coenacted	kˌOɛnˈæktᵻd
coenacting	kˌOɛnˈæktɪŋ
coenactor	kˌOɛnˈæktəɹ
coenacts	kˌOɛnˈækts
coenamor	kˌOɪnˈæməɹ
coenamored	kˌOɪnˈæməɹd
coenamoring	kˌOɪnˈæməɹɪŋ
coenamorment	kˌOɪnˈæməɹmənt
coenamors	kˌOɪnˈæməɹz
coenflame	kˌOɛnflˈAm
coenthrone	kˌOɛnθɹˈOn
coequalize	kˌOˈikwᵊlˌIz
coequally	kˌOˈikwᵊli
coequalness	kˌOˈikwᵊlnəs
coequals	kˌOˈikwᵊlz
coequating	kˌOɪkwˈAɾɪŋ
coercing	kˌOˈɜɹsɪŋ
coerecting	kˌOɪɹˈɛktɪŋ
coestate	kˌOᵻstˈAt
coevolutionary	kˌOˌɛvəlˈuʃənˌɛɹi
coevolving	kˌOɪvˈɑlvɪŋ
coexerting	kˌOɛɡzˈɜɹɾɪŋ
coexisting	kˌOɛɡzˈɪstɪŋ
coextending	kˌOɛkstˈɛndɪŋ
coextension	kˌOɛkstˈɛnʃən
coff	kˈɔf
coffea	kˈɔfiə
coffeebush	kˈɔfibˌʊʃ
coffeecake	kˈɔfikˌAk
coffeecakes	kˈɔfikˌAks
coffeecup	kˈɔfikˌʌp
coffeegrowing	kˈɔfiɡɹˌOɪŋ
coffeehouse	kˈɔfihˌWs
coffeehoused	kˈɔfihˌWst
coffeehousing	kˈɔfihˌWsɪŋ
coffeeleaf	kˈɔfilˌif
coffeeman	kˈɔfimən
coffeepot	kˈɔfipˌɑt
coffeepots	kˈɔfipˌɑts
coffeeroom	kˈɔfiɹˌum
coffees	kˈɔfiz
coffeetime	kˈɔfitˌIm
coffeeweed	kˈɔfiwˌid
coffeewood	kˈɔfiwˌʊd
cofferdams	kˈɔfəɹdˌæmz
cofferer	kˈɔfəɹəɹ
coffering	kˈɔfəɹɪŋ
coffing	kˈɔfɪŋ
coffining	kˈɔfInɪŋ
coffinmaking	kˈɔfɪnmˌAkɪŋ
coffling	kˈɔflɪŋ
coffret	kˈɔfɹɪt
coffrets	kˈɔfɹɪts
coffs	kˈɔfs
cofounding	kˈOfWndɪŋ
coft	kˈɔft
cogeneric	kˌOʤənˈɛɹɪk
cogging	kˈɑɡɪŋ
cogitating	kˈɑʤᵻtˌAɾɪŋ
cogitatingly	kˈɑʤᵻtˌAɾɪŋli
coglorious	kɑɡlˈɔɹiəs
cognation	kɑɡnˈAʃən
cognising	kˈɑɡnIzɪŋ
cognizing	kˈɑɡnIzɪŋ
cognoscing	kˈɑɡnəsɪŋ
cogracious	kɑɡɹˈAʃəs
coguardian	kɑɡˈɑɹdiən
coharmonious	kˌOhɑɹmˈOniəs
coharmoniously	kˌOhɑɹmˈOniəsli
coheading	kˈOhɛdɪŋ
coherency	kOhˈɪɹənsi
coheres	kOhˈɪɹz
cohering	kˈOhəɹɪŋ
cohesionless	kOhˈiʒənləs
cohesions	kOhˈiʒənz
cohobating	kˈOhəbˌAɾɪŋ
cohosted	kˈOhOstᵻd
cohosting	kˈOhOstɪŋ
cohosts	kˈOhOsts
coifed	kˈYft
coiffed	kˈYft
coiffes	kˈYfs
coiffing	kˈYfɪŋ
coifing	kˈYfɪŋ
coifs	kˈYfs
coigned	kˈYnd
coigning	kˈYnɪŋ
coigns	kˈYnz
coiled	kˈYld
coiler	kˈYləɹ
coilers	kˈYləɹz
coiling	kˈYlɪŋ
coillen	kˈYlən
coils	kˈYlz
coinages	kˈYnɪʤᵻz
coinciding	kˌOɪnsˈIdɪŋ
coindwelling	kˈYndwəlɪŋ
coined	kˈYnd
coiners	kˈYnəɹz
coinfer	kˈYnfəɹ
coinfers	kˈYnfəɹz
coing	kˈOɪŋ
coinhering	kˈYnhəɹɪŋ
coining	kˈYnɪŋ
coinmaking	kˈYnmAkɪŋ
coins	kˈYnz
coinsuring	kˈYnʒəɹɪŋ
cointer	kˈYntəɹ
cointerest	kˈYntəɹˌɛst
cointers	kˈYntəɹz
cointersecting	kˈYntəɹsˌɛktɪŋ
coiny	kˈYni
coitophobia	kˌYɾəfˈObiə
cokeman	kˈOkmən
cokeney	kˈOkni
coker	kˈOkəɹ
cokernut	kˈOkəɹnˌʌt
cokers	kˈOkəɹz
cokery	kˈOkəɹi
cokes	kˈOks
cokey	kˈOki
cokie	kˈOki
colan	kˈɑlæn
colarin	kˈOləɹˌɪn
colas	kˈOləz
colat	kˈɑlæt
colder	kˈOldəɹ
coldest	kˈOldɪst
coldnesses	kˈOldnəsᵻz
coldong	kˈOldɑŋ
colds	kˈOldz
coleen	kˈOlən
colen	kˈOlən
colent	kˈOlənt
colera	kˈOlɹə
coles	kˈOlz
colet	kˈɑlɪt
coletit	kˈOltɪt
coleur	kˈOlɜɹ
coley	kˈOli
colical	kˈɑlɪkᵊl
colicker	kˈɑlɪkəɹ
colicroot	kˈɑlɪkɹˌut
colics	kˈɑlɪks
colicweed	kˈɑlɪkwˌid
colicwort	kˈɑlɪkwˌɔɹt
colin	kˈɑlɪn
coling	kˈOlɪŋ
colins	kˈɑlɪnz
colinus	kˈɑlɪnəs
coliseums	kˌɑləsˈiəmz
colk	kˈɑlk
collaborates	kəlˈæbəɹˌAts
collaborating	kəlˈæbəɹˌAɾɪŋ
collaborationism	kəlˌæbəɹˈAʃənˌɪzəm
collaborations	kəlˌæbəɹˈAʃənz
collagens	kˈɑləʤənz
collapses	kəlˈæpsᵻz
collapsing	kəlˈæpsɪŋ
collarbones	kˈɑləɹbˌOnz
collaring	kˈɑləɹɪŋ
collars	kˈɑləɹz
collateralizing	kəlˈæɾəɹᵊlˌIzɪŋ
collating	kˈOlAɾɪŋ
collational	kəlˈAʃənᵊl
collationer	kəlˈAʃənəɹ
collations	kəlˈAʃənz
collaud	kəlˈɔd
colleagued	kˈɑliɡd
colleagues	kˈɑliɡz
colleagueship	kˈɑliɡʃˌɪp
colleaguesmanship	kˈɑliɡˌɛsmənʃˌɪp
colleaguing	kˈɑliɡɪŋ
collectable	kəlˈɛktəbᵊl
collectables	kəlˈɛktəbᵊlz
collecting	kəlˈɛktɪŋ
collectional	kəlˈɛkʃənᵊl
collectioner	kəlˈɛkʃənəɹ
collections	kəlˈɛkʃənz
collectives	kəlˈɛktɪvz
collectivizing	kəlˈɛktɪvˌIzɪŋ
collectivum	kəlˈɛktɪvəm
collectors	kəlˈɛktəɹz
collectorship	kəlˈɛktəɹʃˌɪp
collectress	kəlˈɛktɹəs
collects	kəlˈɛkts
colleges	kˈɑlɪʤᵻz
collegese	kˈɑlɪʤˌiz
collegians	kəlˈiʤənz
collegiately	kəlˈiʤiətli
collegiateness	kəlˈiʤiətnəs
colleting	kˈɑlɪɾɪŋ
collided	kəlˈIdᵻd
collides	kəlˈIdz
colliding	kəlˈIdɪŋ
collied	kˈɑlid
collielike	kˈɑlilˌIk
collies	kˈɑliz
colligating	kˈɑlᵻɡˌAɾɪŋ
collimating	kˈɑlᵻmˌAɾɪŋ
colling	kˈɑlɪŋ
collingly	kˈɑlɪŋli
collingual	kˈɑlɪŋɡwᵊl
collodium	kəlˈOdiəm
colloped	kˈɑləpd
collops	kˈɑləps
colloquialisms	kəlˈOkwiəlˌɪzəmz
colloquialist	kəlˈOkwiəlˌɪst
colloquializer	kəlˈOkwiəlˌIzəɹ
colloquizing	kˈɑləkwˌIzɪŋ
collotyped	kˈɑlətˌIpt
collotyping	kˈɑlətˌIpɪŋ
colluded	kəlˈudᵻd
colluders	kəlˈudəɹz
colludes	kəlˈudz
colluding	kəlˈudɪŋ
collusiveness	kəlˈusɪvnəs
colluviums	kəlˈuviəmz
collying	kˈɑliɪŋ
collyriums	kəlˈɪɹiəmz
colob	kˈɑlɑb
colocating	kˈOlOkˌAɾɪŋ
colocolic	kˌOləkˈɑlɪk
colodyspepsia	kˌɑlədɪspˈɛpsiə
colog	kˈɑlɑɡ
colognes	kəlˈOnz
cologs	kˈɑlɑɡz
colola	kəlˈOlə
colombians	kəlˈʌmbiənz
colometric	kˌɑlOmˈɛtɹɪk
colometrically	kˌɑlOmˈɛtɹɪkli
colonels	kˈɜɹnᵊlz
colonelship	kˈɜɹnᵊlʃˌɪp
colonelships	kˈɜɹnᵊlʃˌɪps
colones	kˈOlənz
colonialising	kˈɑlOnˌiəlˌIzɪŋ
colonializing	kəlˈOniəlˌIzɪŋ
colonisationist	kˌɑlənəzˈAʃənˌɪst
colonised	kˈɑlənˌIzd
colonises	kˈɑlənˌIzᵻz
colonising	kˈɑlənˌIzɪŋ
colonized	kˈɑlənˌIzd
colonizers	kˈɑlənˌIzəɹz
colonizes	kˈɑlənˌIzᵻz
colonizing	kˈɑlənˌIzɪŋ
colons	kˈOlənz
colophonic	kˌɑləfˈɑnɪk
coloptosis	kˌɑləptˈOsɪs
colorableness	kˈʌləɹəbᵊlnəs
colorably	kˈʌləɹəbli
colorants	kˈʌləɹənts
colorate	kˈʌləɹˌAt
colorational	kˌʌləɹˈAʃənᵊl
colorationally	kˌʌləɹˈAʃənᵊli
colorations	kˌʌləɹˈAʃənz
colorcast	kˈʌləɹkˌæst
colorcasted	kˈʌləɹkˌæstᵻd
colorcaster	kˈʌləɹkˌæstəɹ
colorcasting	kˈʌləɹkˌæstɪŋ
colorcasts	kˈʌləɹkˌæsts
coloreds	kˈʌləɹdz
colorer	kˈʌləɹəɹ
colorers	kˈʌləɹəɹz
colorifics	kˌʌləɹˈɪfɪks
colorin	kˈʌləɹˌɪn
colorings	kˈʌləɹɪŋz
colorisms	kˈʌləɹˌɪzəmz
colorlessly	kˈʌləɹləsli
colorlessness	kˈʌləɹləsnəs
colormaking	kˈʌləɹmˌAkɪŋ
colorman	kˈʌləɹmən
colors	kˈʌləɹz
colortype	kˈʌləɹtˌIp
colorum	kˈʌləɹəm
colory	kˈʌləɹi
coloss	kəlˈɔs
colossean	kəlˈɔsiən
colosso	kəlˈɔsO
colossuses	kəlˈɔsusᵻz
colourable	kˈʌləɹəbᵊl
colourableness	kˈʌləɹəbᵊlnəs
colourably	kˈʌləɹəbli
colourative	kˈʌləɹətˌɪv
colourer	kˈʌləɹəɹ
colourers	kˈʌləɹəɹz
colourfast	kˈʌləɹfˌæst
colourfulness	kˈʌləɹfᵊlnəs
colourist	kˈʌləɹˌɪst
colourlessly	kˈʌləɹləsli
colourlessness	kˈʌləɹləsnəs
colours	kˈʌləɹz
colourtype	kˈʌləɹtˌIp
colp	kˈɑlp
colpeo	kˈɑlpɪˌO
colpoplastic	kˌɑlpəplˈæstɪk
colpoptosis	kˌɑlpəptˈOsɪs
colport	kˈɑlpɔɹt
colpus	kˈɑlpəs
cols	kˈɑlz
colter	kˈOltəɹ
colters	kˈOltəɹz
colts	kˈOlts
coltskin	kˈOltskɪn
colugos	kəlˈuɡOz
columbian	kəlˈʌmbiən
columbines	kˈɑləmbˌInz
columbo	kəlˈʌmbO
columnating	kˈɑləmnˌAɾɪŋ
columnation	kˌɑləmnˈAʃən
columning	kˈɑlʌmɪŋ
columnizing	kˈɑləmnˌIzɪŋ
colunar	kəlˈunəɹ
colytic	kəlˈɪɾɪk
colzas	kˈɑlzəz
comaking	kˈOmAkɪŋ
coman	kˈOmən
comanic	kOmˈænɪk
comas	kˈOməz
comatik	kˈOmətˌɪk
comatiks	kˈOmətˌɪks
comatosely	kˈOmətˌOsli
comatoseness	kˈOmətˌOsnəs
combatting	kˈɑmbæɾɪŋ
combflower	kəmbflˈWəɹ
combind	kəmbˈInd
combinedly	kəmbˈInɪdli
combinedness	kəmbˈIndnəs
combinement	kəmbˈInmənt
combing	kˈOmɪŋ
combite	kəmbˈIt
combmaker	kəmbmˈAkəɹ
combmaking	kəmbmˈAkɪŋ
combos	kˈɑmbOz
combs	kˈOmz
combusted	kəmbˈʌstᵻd
combustibly	kəmbˈʌstᵻbli
combusting	kəmbˈʌstɪŋ
combustively	kəmbˈʌstɪvli
combustor	kəmbˈʌstəɹ
combusts	kəmbˈʌsts
combwright	kəmbɹˈIt
comd	kˈɑmdˌi
comdg	kˈɑmʤ
comdr	kˈɑmdəɹ
comdt	kˈɑmt
comeatable	kəmˈiɾəbᵊl
comeddle	kəmˈɛdᵊl
comedia	kəmˈidiə
comedial	kəmˈidiəl
comedians	kəmˈidiənz
comediant	kəmˈidiənt
comedical	kəmˈidɪkᵊl
comedically	kəmˈidɪkli
comeling	kəmˈɛlɪŋ
comers	kˈʌməɹz
comes	kˈʌmz
cometic	kəmˈɛɾɪk
cometical	kəmˈɛɾɪkᵊl
comforters	kˈʌmfəɹɾəɹz
comfortful	kˈʌmfəɹtfᵊl
comfortlessly	kˈʌmfəɹtləsli
comfortlessness	kˈʌmfəɹtləsnəs
comfortress	kˈʌmfəɹtɹəs
comfortroot	kˈʌmfəɹtɹˌut
comforts	kˈʌmfəɹts
comfreys	kˈʌmfɹiz
comicry	kˈɑmɪkɹi
comics	kˈɑmɪks
comid	kˈɑmɪd
comida	kˈɑmɪdə
comingle	kˈʌmɪŋᵊl
comings	kˈʌmɪŋz
coml	kˈɑmᵊl
commaing	kəmˈAŋ
commandable	kəmˈændəbᵊl
commanded	kəmˈændᵻd
commandedness	kəmˈændᵻdnəs
commandeering	kɑməndˈɪɹɪŋ
commanderies	kəmˈændəɹiz
commanders	kəmˈændəɹz
commandery	kəmˈændəɹi
commandingness	kəmˈændɪŋnəs
commandite	kəmˈændIt
commandless	kəmˈændləs
commandoes	kəmˈændOz
commandoman	kəmˈændɑmən
commandos	kəmˈændOz
commandress	kəmˈændɹɛs
commandrie	kəmˈændɹi
commandries	kəmˈændɹiz
commandry	kəmˈændɹi
commands	kəmˈændz
commark	kəmˈɑɹk
commas	kˈɑməz
commeasurable	kəmˈɛʒəɹəbᵊl
commeasure	kəmˈɛʒəɹ
commeasured	kəmˈɛʒəɹd
commeasuring	kəmˈɛʒəɹɪŋ
commeddle	kəmˈɛdᵊl
commemorable	kəmˈɛməɹəbᵊl
commemorates	kəmˈɛməɹˌAts
commemorating	kəmˈɛməɹˌAɾɪŋ
commemorational	kəmˌɛməɹˈAʃənᵊl
commemorations	kəmˌɛməɹˈAʃənz
commemorize	kəmˈɛməɹˌIz
commemorized	kəmˈɛməɹˌIzd
commemorizing	kəmˈɛməɹˌIzɪŋ
commenced	kəmˈɛnst
commencements	kəmˈɛnsmənts
commencer	kəmˈɛnsəɹ
commences	kəmˈɛnsᵻz
commencing	kəmˈɛnsɪŋ
commendableness	kəmˈɛndəbᵊlnəs
commendations	kˌɑməndˈAʃənz
commended	kəmˈɛndᵻd
commending	kəmˈɛndɪŋ
commendingly	kəmˈɛndɪŋli
commendment	kəmˈɛndmənt
commends	kəmˈɛndz
commensally	kəmˈɛnsᵊli
commensals	kəmˈɛnsᵊlz
commensurateness	kəmˈɛnsəɹətnəs
commensurating	kəmˈɛnsəɹəɾɪŋ
commentating	kˈɑməntˌAɾɪŋ
commentators	kˈɑməntˌAɾəɹz
commentatorship	kˈɑməntˌAɾəɹʃˌɪp
commenting	kˈɑmɛntɪŋ
commercialising	kəmˈɜɹʃᵊlˌIzɪŋ
commercializing	kəmˈɜɹʃᵊlˌIzɪŋ
commercing	kˈɑmɜɹsɪŋ
commerge	kəmˈɜɹʤ
comminating	kɑmᵻnˈAɾɪŋ
commingling	kOmˈɪŋɡəlɪŋ
comminuting	kəmˈɪnuɾɪŋ
commiserating	kəmˈɪsəɹˌAɾɪŋ
commiseratingly	kəmˈɪsəɹˌAɾɪŋli
commissional	kəmˈɪʃənᵊl
commissionary	kəmˈɪʃənˌɛɹi
commissionate	kəmˈɪʃənət
commissionated	kəmˈɪʃənəɾᵻd
commissionating	kəmˈɪʃənəɾɪŋ
commissioning	kəmˈɪʃənɪŋ
commissions	kəmˈɪʃənz
commissionship	kəmˈɪʃənʃˌɪp
commissive	kəmˈɪsɪv
commissively	kəmˈɪsɪvli
commits	kəmˈɪts
committals	kəmˈɪɾᵊlz
committedly	kəmˈɪɾᵻdli
committedness	kəmˈɪɾᵻdnəs
committeeism	kəmˈɪɾiˌɪzəm
committees	kəmˈɪɾiz
committeeship	kəmˈɪɾiʃˌɪp
committeewomen	kəmˈɪɾiwˌɪmɪn
committent	kəmˈɪtənt
committment	kəmˈɪtmənt
commixed	kəmˈɪkst
commixes	kəmˈɪksᵻz
commixing	kəmˈɪksɪŋ
commixt	kəmˈɪkst
commixtion	kəmˈɪksʃən
commoderate	kəmˈɑdəɹət
commodes	kəmˈOdz
commodores	kˈɑmədˌɔɹz
commonance	kˈɑmənəns
commoned	kˈɑmənd
commoners	kˈɑmənəɹz
commonership	kˈɑmənəɹʃˌɪp
commoney	kˈɑməni
commoning	kˈɑmənɪŋ
commonish	kˈɑmənɪʃ
commonition	kˌɑmənˈɪʃən
commonize	kˈɑmənˌIz
commonplacely	kˈɑmənplˌAsli
commonplacer	kˈɑmənplˌAsəɹ
commonplaces	kˈɑmənplˌAsᵻz
commonty	kˈɑmənti
commonwealthism	kˈɑmənwˌɛlθɪzəm
commonwealths	kˈɑmənwˌɛlθs
commorient	kəmˈɔɹiənt
commotional	kəmˈOʃənᵊl
commotions	kəmˈOʃənz
commoved	kəmˈuvd
commoves	kəmˈuvz
commoving	kəmˈuvɪŋ
communalising	kəmjˈunəlˌIzɪŋ
communalized	kəmjˈunᵊlˌIzd
communalizing	kəmjˈunᵊlˌIzɪŋ
communicating	kəmjˈunᵻkˌAɾɪŋ
communising	kˈɑmjunˌIzɪŋ
communizing	kəmjˈunIzɪŋ
commutableness	kəmjˈuɾəbᵊlnəs
commutating	kˈɑmjutˌAɾɪŋ
commuted	kəmjˈuɾᵻd
commuters	kəmjˈuɾəɹz
commutes	kəmjˈuts
commuting	kəmjˈuɾɪŋ
commy	kˈɑmi
comourn	kəmˈɔɹn
comourner	kəmˈɔɹnəɹ
comournful	kəmˈɔɹnfᵊl
compactedly	kəmpˈæktᵻdli
compactedness	kəmpˈæktᵻdnəs
compactions	kəmpˈækʃənz
compage	kəmpˈAʤ
compages	kəmpˈAʤᵻz
companioning	kəmpˈæniənɪŋ
companionizing	kəmpˈæniənˌIzɪŋ
companying	kˈʌmpəniɪŋ
comparableness	kˈɑmpəɹəbᵊlnəs
compared	kəmpˈɛɹd
comparer	kəmpˈɛɹəɹ
comparers	kəmpˈɛɹəɹz
compares	kəmpˈɛɹz
compart	kəmpˈɑɹt
comparting	kəmpˈɑɹɾɪŋ
compartition	kɑmpɑɹtˈɪʃən
compartmentalizing	kɑmpɑɹtmˈɛntᵊlˌIzɪŋ
compartmentize	kəmpˈɑɹtməntˌIz
compartments	kəmpˈɑɹtmənts
compartner	kəmpˈɑɹtnəɹ
comparts	kəmpˈɑɹts
compassable	kˈʌmpəsəbᵊl
compassed	kˈʌmpəst
compasser	kˈʌmpəsəɹ
compasses	kˈʌmpəsᵻz
compassing	kˈʌmpəsɪŋ
compassionable	kəmpˈæʃənəbᵊl
compassionated	kəmpˈæʃənəɾᵻd
compassionateness	kəmpˈæʃənətnəs
compassionating	kəmpˈæʃənəɾɪŋ
compassionless	kəmpˈæʃənləs
compassive	kəmpˈæsɪv
compassless	kˈʌmpəsləs
compassment	kˈʌmpəsmənt
compatience	kəmpˈAʃəns
compatient	kəmpˈAʃənt
compatriotism	kəmpˈAtɹiətˌɪzəm
compatriots	kəmpˈAtɹiəts
compd	kˈɑmpd
comped	kˈɑmpt
compeering	kəmpˈɪɹɪŋ
compellably	kəmpˈɛləbli
compellent	kəmpˈɛlənt
compeller	kəmpˈɛləɹ
compellers	kəmpˈɛləɹz
compels	kəmpˈɛlz
compensates	kˈɑmpənsˌAts
compensating	kˈɑmpənsˌAɾɪŋ
compensatingly	kˈɑmpənsˌAɾɪŋli
compensations	kˌɑmpənsˈAʃənz
compere	kˈɑmpɛɹ
comperes	kˈɑmpɛɹz
compering	kˈɑmpəɹɪŋ
compert	kˈɑmpəɹt
compester	kəmpˈɛstəɹ
competes	kəmpˈits
competingly	kəmpˈiɾɪŋli
competitioner	kˌɑmpətˈɪʃənəɹ
competitions	kˌɑmpətˈɪʃənz
compiled	kəmpˈIld
compilement	kəmpˈIlmənt
compilers	kəmpˈIləɹz
compiles	kəmpˈIlz
compiling	kəmpˈIlɪŋ
